queue,user,id,name,started_time,finished_time,time_elapsed
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_836363,"SELECT '850' AREA_CD,
       '201806...--匹配率(Stage-7)",2018-07-09 15:18:32,2018-07-09 15:20:15,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_836533,"SELECT '823' AREA_CD,
       '201806...--匹配率(Stage-7)",2018-07-09 15:21:44,2018-07-09 15:23:26,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831389,a0de6610-7313-4296-8b86-2f0d15313a0c_hive4trans title 1,2018-07-09 13:56:42,2018-07-09 13:58:25,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831384,73970528-386f-484b-be7d-b9672b659037_hive4trans title 1,2018-07-09 13:57:21,2018-07-09 13:59:04,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_833067,com.ailk.udf.node.ctc.ods.WriteFileInfo,2018-07-09 14:28:58,2018-07-09 14:30:40,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831737,a05a6f9f-1f26-41a7-9dea-e5afefcb461e_hive4trans title 1,2018-07-09 14:01:29,2018-07-09 14:03:11,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831383,feeb1cdf-2ff0-4199-8614-c5b9f116b688_hive4trans title 1,2018-07-09 13:56:42,2018-07-09 13:58:24,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831561,612c9630-a67b-4ab6-a8a5-5bf3d2c19aaf_record validate,2018-07-09 14:00:21,2018-07-09 14:02:03,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831337,0c5f141d-a0a4-4d76-bf91-f3a49f357e70_hive4trans title 1,2018-07-09 13:56:36,2018-07-09 13:58:18,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831360,f6370419-293f-4c83-b714-d45fe6eaca5e_hive4trans title 1,2018-07-09 13:56:39,2018-07-09 13:58:21,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831704,b8ba5841-b5bd-4e0d-a18d-52f3ab31a35e_hive4trans title 1,2018-07-09 14:01:26,2018-07-09 14:03:08,101
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831816,cdd68f9b-9b03-41f6-8724-3cfa539a325a_hive4trans title 1,2018-07-09 14:01:45,2018-07-09 14:03:27,101
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_836921,com.ailk.udf.node.ctc.ods.WriteFileInfo,2018-07-09 15:30:42,2018-07-09 15:32:24,101
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831657,401ccdd4-db3c-443a-8d03-802a92fe7e50_hive4trans title 2,2018-07-09 14:01:14,2018-07-09 14:02:56,101
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831652,49062fc6-c687-4f0e-9837-5aedce2c7dec_hive4trans title 2,2018-07-09 14:01:14,2018-07-09 14:02:55,101
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831206,64c3890d-ba6e-4dc8-a126-f917da5e7a83_hive4trans title 1,2018-07-09 13:56:17,2018-07-09 13:57:58,101
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831214,9b376731-0aa8-48cc-ae83-b5123fba3b6c_hive4trans title 1,2018-07-09 13:56:18,2018-07-09 13:57:59,101
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_833501,227a6c35-161a-48a9-81f6-70d19303fe2a_hive4trans title 2,2018-07-09 14:33:10,2018-07-09 14:34:52,101
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831707,535d0d37-b858-4645-a3dc-4fcb3570d3d9_hive4trans title 1,2018-07-09 14:01:26,2018-07-09 14:03:08,101
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831760,6643cd8c-bce8-42f9-b795-622507428ea9_hive4trans title 1,2018-07-09 14:01:32,2018-07-09 14:03:13,101
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831406,0f5ff630-7f47-4ee1-adf9-34ca444f3536_hive4trans title 1,2018-07-09 13:56:45,2018-07-09 13:58:26,101
