application_id,status,submit_time,start_time,finished_time,allocate_time,total_time,allocate_seconds,total_seconds
application_1527220447442_42932,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 03:58:25,01:25:10,01:29:48,5110,5388
application_1527220447442_42938,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 03:58:25,01:25:10,01:29:48,5110,5388
application_1527220447442_42928,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 03:58:25,01:25:10,01:29:48,5110,5388
application_1527220447442_42053,SUCCESS,2018/05/26 02:00:44,2018/05/26 03:12:27,2018/05/26 03:30:23,01:11:43,01:29:39,4303,5379
application_1527220447442_43033,SUCCESS,2018/05/26 02:34:16,2018/05/26 03:53:53,2018/05/26 04:03:55,01:19:37,01:29:39,4777,5379
application_1527220447442_42110,SUCCESS,2018/05/26 02:06:22,2018/05/26 03:12:27,2018/05/26 03:35:57,01:6:5,01:29:35,3965,5375
application_1527220447442_42112,SUCCESS,2018/05/26 02:06:22,2018/05/26 03:12:28,2018/05/26 03:35:57,01:6:6,01:29:35,3966,5375
application_1527220447442_43036,SUCCESS,2018/05/26 02:34:28,2018/05/26 03:53:53,2018/05/26 04:03:55,01:19:25,01:29:27,4765,5367
application_1527220447442_43035,SUCCESS,2018/05/26 02:34:29,2018/05/26 03:53:53,2018/05/26 04:03:55,01:19:24,01:29:26,4764,5366
application_1527220447442_43044,SUCCESS,2018/05/26 02:34:37,2018/05/26 03:53:54,2018/05/26 04:03:56,01:19:17,01:29:19,4757,5359
application_1527220447442_43048,SUCCESS,2018/05/26 02:34:37,2018/05/26 03:53:53,2018/05/26 04:03:56,01:19:16,01:29:19,4756,5359
application_1527220447442_43047,SUCCESS,2018/05/26 02:34:37,2018/05/26 03:53:53,2018/05/26 04:03:56,01:19:16,01:29:19,4756,5359
application_1527220447442_42117,SUCCESS,2018/05/26 02:06:40,2018/05/26 03:12:28,2018/05/26 03:35:57,01:5:48,01:29:17,3948,5357
application_1527220447442_42944,SUCCESS,2018/05/26 02:29:17,2018/05/26 03:53:46,2018/05/26 03:58:34,01:24:29,01:29:17,5069,5357
