application_id,status,submit_time,start_time,finished_time,allocate_time,total_time
application_1527220447442_454302,SUCCESS,2018/06/01 06:10:18,2018/06/01 06:13:42,2018/06/01 06:18:39,00:3:24,00:8:21
application_1527220447442_440614,SUCCESS,2018/06/01 01:52:11,2018/06/01 01:56:51,2018/06/01 02:00:32,00:4:40,00:8:21
application_1527220447442_448967,SUCCESS,2018/06/01 04:36:04,2018/06/01 04:36:59,2018/06/01 04:44:24,00:0:55,00:8:20
application_1527220447442_452593,SUCCESS,2018/06/01 05:40:09,2018/06/01 05:46:36,2018/06/01 05:48:29,00:6:27,00:8:20
application_1527220447442_445641,SUCCESS,2018/06/01 03:32:30,2018/06/01 03:35:49,2018/06/01 03:40:50,00:3:19,00:8:20
application_1527220447442_446877,SUCCESS,2018/06/01 04:03:55,2018/06/01 04:05:04,2018/06/01 04:12:15,00:1:9,00:8:20
application_1527220447442_452779,SUCCESS,2018/06/01 05:42:17,2018/06/01 05:48:00,2018/06/01 05:50:36,00:5:43,00:8:19
application_1527220447442_449531,SUCCESS,2018/06/01 04:49:09,2018/06/01 04:54:37,2018/06/01 04:57:28,00:5:28,00:8:19
application_1527220447442_455559,SUCCESS,2018/06/01 06:24:30,2018/06/01 06:28:54,2018/06/01 06:32:49,00:4:24,00:8:19
application_1527220447442_452830,SUCCESS,2018/06/01 05:43:49,2018/06/01 05:50:13,2018/06/01 05:52:07,00:6:24,00:8:18
application_1527220447442_452604,SUCCESS,2018/06/01 05:43:49,2018/06/01 05:50:13,2018/06/01 05:52:07,00:6:24,00:8:18
application_1527220447442_452522,SUCCESS,2018/06/01 05:40:17,2018/06/01 05:46:35,2018/06/01 05:48:35,00:6:18,00:8:18
application_1527220447442_450205,SUCCESS,2018/06/01 05:07:50,2018/06/01 05:10:26,2018/06/01 05:16:08,00:2:36,00:8:18
application_1527220447442_452922,SUCCESS,2018/06/01 05:46:12,2018/06/01 05:52:14,2018/06/01 05:54:30,00:6:2,00:8:18
application_1527220447442_456837,SUCCESS,2018/06/01 06:55:41,2018/06/01 06:57:50,2018/06/01 07:03:59,00:2:9,00:8:18
application_1527220447442_449756,SUCCESS,2018/06/01 04:48:37,2018/06/01 04:55:22,2018/06/01 04:56:54,00:6:45,00:8:17
application_1527220447442_451955,SUCCESS,2018/06/01 05:24:44,2018/06/01 05:29:44,2018/06/01 05:33:01,00:5:0,00:8:17
application_1527220447442_448910,SUCCESS,2018/06/01 04:34:08,2018/06/01 04:36:11,2018/06/01 04:42:25,00:2:3,00:8:17
application_1527220447442_442373,SUCCESS,2018/06/01 02:22:30,2018/06/01 02:26:06,2018/06/01 02:30:46,00:3:36,00:8:16
application_1527220447442_456521,SUCCESS,2018/06/01 06:46:22,2018/06/01 06:53:18,2018/06/01 06:54:38,00:6:56,00:8:16
application_1527220447442_450104,SUCCESS,2018/06/01 05:04:33,2018/06/01 05:06:36,2018/06/01 05:12:49,00:2:3,00:8:16
application_1527220447442_455652,SUCCESS,2018/06/01 06:28:47,2018/06/01 06:35:04,2018/06/01 06:37:03,00:6:17,00:8:16
application_1527220447442_450236,SUCCESS,2018/06/01 05:07:35,2018/06/01 05:11:02,2018/06/01 05:15:50,00:3:27,00:8:15
application_1527220447442_452619,SUCCESS,2018/06/01 05:42:22,2018/06/01 05:48:33,2018/06/01 05:50:36,00:6:11,00:8:14
application_1527220447442_452799,SUCCESS,2018/06/01 05:42:24,2018/06/01 05:47:58,2018/06/01 05:50:37,00:5:34,00:8:13
application_1527220447442_455446,SUCCESS,2018/06/01 06:24:25,2018/06/01 06:28:49,2018/06/01 06:32:38,00:4:24,00:8:13
application_1527220447442_457091,SUCCESS,2018/06/01 07:01:25,2018/06/01 07:04:22,2018/06/01 07:09:38,00:2:57,00:8:13
application_1527220447442_449731,SUCCESS,2018/06/01 04:47:43,2018/06/01 04:54:34,2018/06/01 04:55:56,00:6:51,00:8:13
application_1527220447442_454161,SUCCESS,2018/06/01 06:10:33,2018/06/01 06:13:46,2018/06/01 06:18:46,00:3:13,00:8:13
