application_id,status,submit_time,start_time,finished_time,allocate_time,total_time,allocate_seconds,total_seconds
application_1529601806040_167952,SUCCESS,2018/6/25 17:10,2018/6/25 17:14,2018/6/25 17:17,0:04:02,0:06:54,242,414
application_1529601806040_196946,SUCCESS,2018/6/25 23:44,2018/6/25 23:48,2018/6/25 23:50,0:04:02,0:06:34,242,394
application_1529601806040_183649,SUCCESS,2018/6/25 21:29,2018/6/25 21:33,2018/6/25 21:34,0:04:02,0:04:56,242,296
application_1529601806040_182751,SUCCESS,2018/6/25 21:24,2018/6/25 21:28,2018/6/25 21:29,0:04:02,0:05:01,242,301
application_1529601806040_180085,SUCCESS,2018/6/25 20:46,2018/6/25 20:50,2018/6/25 20:54,0:04:02,0:07:55,242,475
application_1529601806040_193211,SUCCESS,2018/6/25 22:53,2018/6/25 22:57,2018/6/25 22:58,0:04:02,0:04:54,242,294
application_1529601806040_184461,SUCCESS,2018/6/25 21:35,2018/6/25 21:39,2018/6/25 21:43,0:04:02,0:07:38,242,458
application_1529601806040_178547,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:02,0:05:15,242,315
application_1529601806040_178554,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:02,0:05:15,242,315
application_1529601806040_159705,SUCCESS,2018/6/25 14:11,2018/6/25 14:15,2018/6/25 14:16,0:04:02,0:04:48,242,288
application_1529601806040_155864,SUCCESS,2018/6/25 12:42,2018/6/25 12:46,2018/6/25 12:47,0:04:02,0:05:16,242,316
application_1529601806040_182974,SUCCESS,2018/6/25 21:24,2018/6/25 21:28,2018/6/25 21:29,0:04:02,0:04:57,242,297
application_1529601806040_177597,SUCCESS,2018/6/25 20:16,2018/6/25 20:20,2018/6/25 20:21,0:04:02,0:05:30,242,330
application_1529601806040_197570,SUCCESS,2018/6/25 23:53,2018/6/25 23:57,2018/6/25 23:59,0:04:02,0:06:04,242,364
application_1529601806040_192700,SUCCESS,2018/6/25 22:45,2018/6/25 22:49,2018/6/25 22:51,0:04:02,0:05:26,242,326
application_1529601806040_162635,SUCCESS,2018/6/25 15:12,2018/6/25 15:16,2018/6/25 15:20,0:04:02,0:08:23,242,503
application_1529601806040_170762,SUCCESS,2018/6/25 18:00,2018/6/25 18:04,2018/6/25 18:06,0:04:02,0:05:36,242,336
application_1529601806040_196844,SUCCESS,2018/6/25 23:43,2018/6/25 23:47,2018/6/25 23:49,0:04:02,0:05:39,242,339
application_1529601806040_184791,SUCCESS,2018/6/25 21:38,2018/6/25 21:42,2018/6/25 21:45,0:04:02,0:06:41,242,401
application_1529601806040_178818,SUCCESS,2018/6/25 20:32,2018/6/25 20:36,2018/6/25 20:39,0:04:02,0:06:30,242,390
application_1529601806040_175752,SUCCESS,2018/6/25 19:41,2018/6/25 19:45,2018/6/25 19:48,0:04:02,0:06:22,242,382
application_1529601806040_192525,SUCCESS,2018/6/25 22:45,2018/6/25 22:49,2018/6/25 22:51,0:04:02,0:06:04,242,364
application_1529601806040_178424,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:37,0:04:02,0:09:57,242,597
application_1529601806040_188947,SUCCESS,2018/6/25 22:12,2018/6/25 22:16,2018/6/25 22:21,0:04:02,0:09:09,242,549
application_1529601806040_180547,SUCCESS,2018/6/25 20:55,2018/6/25 20:59,2018/6/25 20:59,0:04:02,0:04:28,242,268
application_1529601806040_197138,SUCCESS,2018/6/25 23:47,2018/6/25 23:51,2018/6/25 23:52,0:04:02,0:04:42,242,282
application_1529601806040_159596,SUCCESS,2018/6/25 14:08,2018/6/25 14:12,2018/6/25 14:15,0:04:02,0:07:15,242,435
application_1529601806040_177341,SUCCESS,2018/6/25 20:11,2018/6/25 20:15,2018/6/25 20:16,0:04:02,0:05:20,242,320
application_1529601806040_173665,SUCCESS,2018/6/25 18:53,2018/6/25 18:57,2018/6/25 19:00,0:04:02,0:07:09,242,429
application_1529601806040_196811,SUCCESS,2018/6/25 23:43,2018/6/25 23:47,2018/6/25 23:49,0:04:02,0:05:38,242,338
application_1529601806040_151221,SUCCESS,2018/6/25 10:50,2018/6/25 10:55,2018/6/25 11:13,0:04:02,0:22:21,242,1341
application_1529601806040_164473,SUCCESS,2018/6/25 15:59,2018/6/25 16:03,2018/6/25 16:04,0:04:02,0:04:56,242,296
application_1529601806040_192132,SUCCESS,2018/6/25 22:40,2018/6/25 22:44,2018/6/25 22:46,0:04:02,0:05:35,242,335
application_1529601806040_183624,SUCCESS,2018/6/25 21:30,2018/6/25 21:34,2018/6/25 21:35,0:04:02,0:04:45,242,285
application_1529601806040_170795,SUCCESS,2018/6/25 18:00,2018/6/25 18:04,2018/6/25 18:06,0:04:02,0:05:37,242,337
application_1529601806040_183658,SUCCESS,2018/6/25 21:30,2018/6/25 21:34,2018/6/25 21:34,0:04:02,0:04:51,242,291
application_1529601806040_183683,SUCCESS,2018/6/25 21:29,2018/6/25 21:34,2018/6/25 21:35,0:04:02,0:05:51,242,351
application_1529601806040_181476,SUCCESS,2018/6/25 21:06,2018/6/25 21:10,2018/6/25 21:11,0:04:02,0:05:14,242,314
application_1529601806040_178871,SUCCESS,2018/6/25 20:32,2018/6/25 20:36,2018/6/25 20:41,0:04:02,0:08:51,242,531
application_1529601806040_177582,SUCCESS,2018/6/25 20:16,2018/6/25 20:20,2018/6/25 20:21,0:04:02,0:05:29,242,329
application_1529601806040_178011,SUCCESS,2018/6/25 20:22,2018/6/25 20:26,2018/6/25 20:27,0:04:01,0:04:59,241,299
application_1529601806040_176987,SUCCESS,2018/6/25 20:04,2018/6/25 20:08,2018/6/25 20:09,0:04:01,0:04:57,241,297
application_1529601806040_164317,SUCCESS,2018/6/25 15:55,2018/6/25 15:59,2018/6/25 16:01,0:04:01,0:06:02,241,362
application_1529601806040_163297,SUCCESS,2018/6/25 15:35,2018/6/25 15:39,2018/6/25 15:40,0:04:01,0:05:21,241,321
application_1529601806040_192699,SUCCESS,2018/6/25 22:45,2018/6/25 22:49,2018/6/25 22:51,0:04:01,0:05:25,241,325
application_1529601806040_189348,SUCCESS,2018/6/25 22:16,2018/6/25 22:20,2018/6/25 22:20,0:04:01,0:04:54,241,294
application_1529601806040_189336,SUCCESS,2018/6/25 22:16,2018/6/25 22:20,2018/6/25 22:20,0:04:01,0:04:53,241,293
application_1529601806040_175013,SUCCESS,2018/6/25 19:26,2018/6/25 19:30,2018/6/25 19:31,0:04:01,0:04:54,241,294
